Date,Home Team,Away Team,Home Goals,Away Goals,Referee
Feb 09 2019 - 5:30pm,Brighton & Hove Albion,Burnley,1,3,Stuart Attwell
Feb 10 2019 - 1:30pm,Tottenham Hotspur,Leicester City,3,1,Michael Oliver
Feb 10 2019 - 4:00pm,Manchester City,Chelsea,6,0,Mike Dean
Feb 11 2019 - 8:00pm,Wolverhampton Wanderers,Newcastle United,1,1,Graham Scott
Feb 22 2019 - 7:45pm,Cardiff City,Watford,1,5,Simon Hooper
Feb 22 2019 - 7:45pm,West Ham United,Fulham,3,1,Lee Mason
Feb 23 2019 - 12:30pm,Burnley,Tottenham Hotspur,2,1,Mike Dean
Feb 23 2019 - 3:00pm,AFC Bournemouth,Wolverhampton Wanderers,1,1,Roger East
Feb 23 2019 - 3:00pm,Newcastle United,Huddersfield Town,2,0,Kevin Friend
Feb 23 2019 - 5:30pm,Leicester City,Crystal Palace,1,4,Anthony Taylor
Feb 24 2019 - 2:05pm,Arsenal,Southampton,2,0,Graham Scott
Feb 24 2019 - 2:05pm,Manchester United,Liverpool,0,0,Michael Oliver
Feb 26 2019 - 7:45pm,Cardiff City,Everton,0,3,Kevin Friend
Feb 26 2019 - 7:45pm,Huddersfield Town,Wolverhampton Wanderers,1,0,David Coote
Feb 26 2019 - 7:45pm,Leicester City,Brighton & Hove Albion,2,1,Lee Probert
Feb 26 2019 - 8:00pm,Newcastle United,Burnley,2,0,Craig Pawson
Feb 27 2019 - 7:45pm,Arsenal,AFC Bournemouth,5,1,Chris Kavanagh
Feb 27 2019 - 7:45pm,Southampton,Fulham,2,0,Anthony Taylor
Feb 27 2019 - 8:00pm,Crystal Palace,Manchester United,1,3,Martin Atkinson
Feb 27 2019 - 8:00pm,Chelsea,Tottenham Hotspur,2,0,Andre Marriner
Feb 27 2019 - 8:00pm,Liverpool,Watford,5,0,Graham Scott
Feb 27 2019 - 8:00pm,Manchester City,West Ham United,1,0,Stuart Attwell
Mar 02 2019 - 12:30pm,Tottenham Hotspur,Arsenal,1,1,Anthony Taylor
Mar 02 2019 - 3:00pm,AFC Bournemouth,Manchester City,0,1,Kevin Friend
Mar 02 2019 - 3:00pm,Brighton & Hove Albion,Huddersfield Town,1,0,Mike Dean
Mar 02 2019 - 3:00pm,Burnley,Crystal Palace,1,3,Lee Probert
Mar 02 2019 - 3:00pm,Manchester United,Southampton,3,2,Stuart Attwell
Mar 02 2019 - 3:00pm,Wolverhampton Wanderers,Cardiff City,2,0,Andre Marriner
Mar 02 2019 - 5:30pm,West Ham United,Newcastle United,2,0,Chris Kavanagh
Mar 03 2019 - 12:00pm,Watford,Leicester City,2,1,Jonathan Moss
Mar 03 2019 - 2:05pm,Fulham,Chelsea,1,2,Graham Scott
Mar 03 2019 - 4:15pm,Everton,Liverpool,0,0,Martin Atkinson
